value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
no,cycleway,129891.0303,3634,852529.752,574,1,3633,234.6627448,0.1523595277,,35.75310497,,,,,,,
crossing,cycleway,35172.75804,2288,53426.37607,587,10,2278,23.45319406,0.6583407041,,15.44019229,,,,,,,
track,cycleway,596.3963829,1145,184845.7987,226,1,1144,161.5784953,0.003226453548,,0.5213255095,,,,,,,
shared,cycleway,0,614,124036.4569,91,0,614,202.0137734,0,,0,,,,,,,
separate,cycleway,0,442,45488.14359,64,0,442,102.914352,0,,0,,,,,,,
shoulder,cycleway,0,144,66441.26441,50,0,144,461.3976695,0,,0,,,,,,,
buffered_lane,cycleway,0,95,24607.15543,27,0,95,259.0226887,0,,0,,,,,,,
sidewalk,cycleway,0,68,12486.73064,32,0,68,183.6283917,0,,0,,,,,,,
yes,cycleway,0,64,21734.17149,22,0,64,339.5964296,0,,0,,,,,,,
share_busway,cycleway,138.8214028,27,3372.10701,6,0,27,124.8928522,0.0411675556,,5.141533438,,,,,,,
segregated,cycleway,0,26,27607.51992,18,0,26,1061.827689,0,,0,,,,,,,
sidepath,cycleway,0,25,5740.40214,13,0,25,229.6160856,0,,0,,,,,,,
opposite_lane,cycleway,0,19,1723.436174,7,0,19,90.70716703,0,,0,,,,,,,
right,cycleway,0,19,1433.059185,8,0,19,75.42416761,0,,0,,,,,,,
proposed,cycleway,0,17,3071.321558,7,0,17,180.665974,0,,0,,,,,,,
traffic_island,cycleway,0,17,61.54170044,3,0,17,3.620100026,0,,0,,,,,,,
path,cycleway,0,14,4479.582877,7,0,14,319.9702055,0,,0,,,,,,,
right:lane,cycleway,0,11,2434.188055,1,0,11,221.2898232,0,,0,,,,,,,
rail,railway,763084.623,35096,17023368.76,5019,0,35096,485.0515374,0.04482571187,,21.74278046,,,,,,,
abandoned,railway,2751.215217,8069,4713891.863,2987,0,8069,584.197777,0.0005836398664,,0.3409611125,,,,,,,
