value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way,,,freddie's decision,freddie's comments,use
gully,natural,0,352,188163.5651,83,0,352,0,534.5555827,,,0,,
canyon,natural,0,263,230232.1389,196,3,260,0,885.5082265,,,0,,0
range,natural,0,59,72548.57134,54,0,59,0,1229.636802,,,0,,
earth_bank,natural,0,22,6774.389629,10,0,22,0,307.9268013,,,0,,
gorge,natural,0,16,13761.017,14,0,16,0,860.0635627,,,0,,
arete,natural,0,10,6026.192215,10,0,10,0,602.6192215,,,0,,
ravine,natural,0,3,825.1515826,3,1,2,0,412.5757913,,,0,,
saddle,natural,0,743,146.5563388,616,742,1,0,146.5563388,,,,,
hitching_post,amenity,0,26,80.24379234,15,14,12,0,6.686982695,,,,,
bikelane,amenity,0,5,107.3137886,1,0,5,0,21.46275772,,,,,
pier,amenity,0,2,920.7632922,2,0,2,0,460.3816461,,,1,,
parking_exit,amenity,0,4,11.94341126,4,2,2,0,5.97170563,,,,,
long_jump,leisure,0,2,101.2326018,1,0,2,0,50.61630092,,,,,
water_slide,leisure,0,3,26.64143704,2,1,2,0,13.32071852,,,,,
fly_fishing,leisure,0,1,36.91415738,1,0,1,0,36.91415738,,,,,
cable,power,0,637,501705.5738,396,0,637,0,787.6068663,,,0,,0
abandoned:line,power,0,57,73698.42219,49,0,57,0,1292.954775,,,0,,
portal,power,0,1071,1003.316185,149,1026,45,0,22.29591522,,,,,
catenary_portal,power,0,11,266.853281,4,0,11,0,24.25938918,,,,,
pole,power,0,168306,49.75512028,6500,168305,1,0,49.75512028,,,,,
yes,crossing,0,71,649.4088439,23,38,33,0,19.67905588,,,,,
no,crossing,0,580,503.0394127,147,561,19,0,26.47575856,,,,,
traffic_island,crossing,0,13,85.19205269,6,0,13,0,6.553234822,,,,,
stop_sign,crossing,0,200,276.4460333,42,191,9,0,30.71622592,,,,,
railway,crossing,0,7,151.0891783,2,0,7,0,21.58416832,,,,,
controlled,crossing,0,16,129.4032808,9,9,7,0,18.48618298,,,,,
footway,crossing,0,10,250.4040861,7,3,7,0,35.7720123,,,,,
bridge,crossing,0,6,232.3698928,4,0,6,0,38.72831546,,,,,
unknown,crossing,0,14,49.91680904,5,10,4,0,12.47920226,,,,,
informal,crossing,0,19,35.09967201,16,15,4,0,8.774918003,,,,,
pedestrian,crossing,0,14,46.10908905,7,12,2,0,23.05454452,,,,,
marked2,crossing,0,2,34.30567369,2,0,2,0,17.15283684,,,,,
standard,crossing,0,2,82.59655876,1,0,2,0,41.29827938,,,,,
marking,crossing,0,2,36.85760247,1,0,2,0,18.42880124,,,,,
stop,crossing,0,4,61.76233029,3,3,1,0,61.76233029,,,,,
rail,crossing,0,1,15.65306521,1,0,1,0,15.65306521,,,,,
unmapped,crossing,0,1,13.29938407,1,0,1,0,13.29938407,,,,,
Bridge,crossing,0,1,36.04659906,1,0,1,0,36.04659906,,,,,
lights,crossing,0,1,12.12800706,1,0,1,0,12.12800706,,,,,
diagonal,crossing,0,1,35.30870086,1,0,1,0,35.30870086,,,,,
shared,cycleway,0,614,124036.4569,91,0,614,0,202.0137734,,,0,unclear via S2,
separate,cycleway,0,442,45488.14359,64,0,442,0,102.914352,,,,,
shoulder,cycleway,0,144,66441.26441,50,0,144,0,461.3976695,,,0,unclear via S2,
buffered_lane,cycleway,0,95,24607.15543,27,0,95,0,259.0226887,,,0,unclear via S2,
sidewalk,cycleway,0,68,12486.73064,32,0,68,0,183.6283917,,,,,
yes,cycleway,0,64,21734.17149,22,0,64,0,339.5964296,,,0,unclear via S2,
segregated,cycleway,0,26,27607.51992,18,0,26,0,1061.827689,,,0,unclear via S2,
sidepath,cycleway,0,25,5740.40214,13,0,25,0,229.6160856,,,0,unclear via S2,
opposite_lane,cycleway,0,19,1723.436174,7,0,19,0,90.70716703,,,,,
right,cycleway,0,19,1433.059185,8,0,19,0,75.42416761,,,,,
proposed,cycleway,0,17,3071.321558,7,0,17,0,180.665974,,,,,
traffic_island,cycleway,0,17,61.54170044,3,0,17,0,3.620100026,,,,,
path,cycleway,0,14,4479.582877,7,0,14,0,319.9702055,,,0,unclear via S2,
right:lane,cycleway,0,11,2434.188055,1,0,11,0,221.2898232,,,0,unclear via S2,
opposite,cycleway,0,6,642.1210284,3,0,6,0,107.0201714,,,,,
left,cycleway,0,5,1034.596467,2,0,5,0,206.9192934,,,0,unclear via S2,
both,cycleway,0,5,2090.985557,3,0,5,0,418.1971114,,,0,unclear via S2,
route,cycleway,0,3,221.1158249,1,0,3,0,73.70527497,,,,,
Anywhere,cycleway,0,2,409.3611463,2,0,2,0,204.6805731,,,0,unclear via S2,
shar,cycleway,0,2,772.0215985,2,0,2,0,386.0107992,,,0,unclear via S2,
light_rail,railway,0,3409,969429.0053,261,0,3409,0,284.3734248,,,0,,0
subway,railway,0,1630,541487.0916,130,0,1630,0,332.2006697,,,0,,0
razed,railway,0,600,449294.4648,359,1,599,0,750.0742317,,,0,,0
funicular,railway,0,23,2768.737717,12,0,23,0,120.3799007,,,,,
platform_edge,railway,0,18,2657.366855,6,0,18,0,147.6314919,,,,,
demolished,railway,0,5,1250.685315,3,0,5,0,250.137063,,,0,,
signal_bridge,railway,0,3,50.14465571,3,0,3,0,16.71488524,,,,,
crane,railway,0,2,1070.29555,2,0,2,0,535.1477751,,,0,,
dismantled,railway,0,2,196.3811503,2,0,2,0,98.19057515,,,,,
platffootway=sidewalk,railway,0,1,116.6029086,1,0,1,0,116.6029086,,,,,
jet_bridge,bridge,0,39,1134.167879,3,0,39,0,29.08122767,,,,,
no,bridge,0,21,3965.790695,13,1,20,0,198.2895347,,,,,
abandoned,bridge,0,10,825.2749402,9,0,10,0,82.52749402,,,,,
log_bridge,bridge,0,2,13.73828614,2,0,2,0,6.869143069,,,,,
decorative,bridge,0,2,9.323962179,1,0,2,0,4.661981089,,,,,
gate,bridge,0,1,2.022294263,1,0,1,0,2.022294263,,,,,
gangway,bridge,0,1,4.701466405,1,0,1,0,4.701466405,,,,,
dirt,bridge,0,1,25.79505262,1,0,1,0,25.79505262,,,,,
plank,bridge,0,1,3.45828633,1,0,1,0,3.45828633,,,,,
razed,bridge,0,1,11.47913681,1,0,1,0,11.47913681,,,,,
broadwalk,bridge,0,1,68.28554257,1,0,1,0,68.28554257,,,,,
1,bridge,0,1,149.841176,1,0,1,0,149.841176,,,,,
rock_climbing,sport,0,2,514.0846851,1,0,2,0,257.0423426,,,0,,
rock_Climbing,sport,0,1,250.7886041,1,0,1,0,250.7886041,,,0,,
yes,sport,0,1,3.071493593,1,0,1,0,3.071493593,,,,,
motor;public_safety_training,sport,0,1,216.145741,1,0,1,0,216.145741,,,0,,
waterslide,sport,0,1,116.3909317,1,0,1,0,116.3909317,,,,,
running;pole_vault,sport,0,1,42.68392245,1,0,1,0,42.68392245,,,,,
short_jump,sport,0,1,30.25267021,1,0,1,0,30.25267021,,,,,
buildering,sport,0,1,30.9876364,1,0,1,0,30.9876364,,,,,
no,tunnel,0,313,233028.2205,192,1,312,0,746.8853223,,,0,,0
flooded,tunnel,0,91,22944.14536,69,0,91,0,252.1334655,,,0,,
pipe,tunnel,0,70,25640.79087,28,0,70,0,366.2970124,,,0,,
proposed,tunnel,0,26,18977.03086,8,0,26,0,729.8858024,,,0,,
avalanche_protector,tunnel,0,13,2317.009053,4,0,13,0,178.2314656,,,,,
tunnel,tunnel,0,6,643.0662537,2,0,6,0,107.1777089,,,,,
siphon,tunnel,0,4,1106.476319,3,0,4,0,276.6190799,,,0,,
c,tunnel,0,1,10.92228958,1,0,1,0,10.92228958,,,,,
pi,tunnel,0,1,136.304654,1,0,1,0,136.304654,,,,,
bui,tunnel,0,1,15.59673168,1,0,1,0,15.59673168,,,,,
